icao,iata,nombre,ciudad,pais,tipo,lat,lon
AR-0342,,Villa de María de Río Seco Airport,Villa de María de Río Seco,AR,small_airport,-29.9,-63.683
AR-0344,,Stroeder Airport,Stroeder,AR,small_airport,-40.207635,-62.61858
AR-0345,,Suboficial Auxiliar Miguel A. Cardone Airport,Villa Cañas,AR,small_airport,-33.9617,-61.6325
AR-0349,,Estancia Tecka Airport,Chubut,AR,small_airport,-43.6122207642,-71.0219421387
AR-0352,,Tilisarao Airport,Tilisarao,AR,small_airport,-32.75,-65.28220367429999
AR-0354,,Tolosa Airport,La Plata,AR,small_airport,-34.8747,-57.9608
AR-0355,,Tornquist Airport,Tornquist,AR,small_airport,-38.0956,-62.250301
AR-0356,,Tostado Airport,Tostado,AR,small_airport,-29.2358,-61.7886
AR-0369,,Chevron Texaco Airport,El Trapial,AR,small_airport,-37.365002,-69.300278
AR-0370,,Horco Molle Aeroclub Airport,Tucumán,AR,small_airport,-26.7961006165,-65.3091964722
AR-0372,,Urdinarrain Airport,Urdinarrain,AR,small_airport,-32.6964,-58.8992
AR-0373,,Veinticinco De Mayo Airport,Veinticinco De Mayo,AR,small_airport,-35.4464,-60.0886
AR-0374,,Vera Airport,Vera,AR,small_airport,-29.4681,-60.2261
AR-0375,,Veronica Airport,Veronica,AR,small_airport,-35.4,-57.3667
AR-0376,,Victoria Airport,Victoria,AR,small_airport,-32.5844,-60.1847
AR-0377,,Victorica Airport,Victorica,AR,small_airport,-36.237499237099996,-65.450553894
AR-0378,,Villa Del Rosario Airport,Villa Del Rosario,AR,small_airport,-31.579313,-63.539184
AR-0379,,Villa General Belgrano Airport,Villa General Belgrano,AR,small_airport,-31.9652996063,-64.5643997192
AR-0380,,Villa Ocampo Airport,Villa Ocampo,AR,small_airport,-28.4969,-59.3256
AR-0381,,Villa Regina Airport,Villa Regina,AR,small_airport,-39.073601,-67.080002
AR-0382,,Villa Rumipal Airport,Villa Rumipal,AR,small_airport,-32.1850013733,-64.4882965088
AR-0383,,Zarate Airport,Zarate,AR,small_airport,-34.119912,-59.083198
AR-0384,,Belingueres Aviación Airport,Ines Indart,AR,small_airport,-34.2778,-60.5044
AR-0385,,Bocca Airport,San Jorge,AR,small_airport,-31.8711,-61.9511
AR-0386,,Buena Esperanza Airport,Los Conquistadores,AR,small_airport,-30.5306,-58.3972
AR-0387,,Buenos Aires Airport,"Pueblo Alsina, Baradero",AR,small_airport,-33.859722,-59.468887
AR-0388,,Burdisso Airport,El Trebol,AR,small_airport,-32.2406,-61.7583
AR-0390,CPG,Carmen de Patagones Airport,Carmen de Patagones,AR,small_airport,-40.7781,-62.9803
AR-0391,,Mar del Plata Gliding Club,Mar del Plata,AR,small_airport,-38.0153,-57.6536
AR-0392,,Colonia Tirolesa Airport,Colonia Tirolesa,AR,small_airport,-31.244722,-64.035278
AR-0393,,Comandante Eduardo A. Olivero Airport,Tandil,AR,small_airport,-37.347686,-58.9853
AR-0394,,Concepción Airport,Concepción,AR,small_airport,-27.345434,-65.617973
AR-0395,,Brandsen Airport,Brandsen,AR,small_airport,-35.1828,-58.2839
AR-0396,,Coronel Moldes Airport,Coronel Moldes,AR,small_airport,-33.616669,-64.612503
AR-0397,,Di Giuseppe Airport,Carcarañá,AR,small_airport,-32.8908,-61.1239
AR-0398,,Dinaluca S.A. Airport,Berón de Astrada,AR,small_airport,-27.3828,-57.6442
AR-0399,,General Rodriguez Ildefonso Durana Airport,General Rodriguez,AR,small_airport,-34.6803,-59.0358
AR-0400,,El Girasol Airport,Gobernador Castro,AR,small_airport,-33.6661,-59.8339
AR-0401,,El Gringo Airport,Charata,AR,small_airport,-27.3086,-61.2114
AR-0402,,El Jagüel Airport,Villaguay,AR,small_airport,-31.7994,-59.0339
AR-0403,,El Malagueño Airport,Villaguay,AR,small_airport,-31.6994,-59.4006
